Scene,Sampler,Integrator,non contributing rays
sportscar-area-lights,paddedsobol,path,0.1839522272348404
sportscar-area-lights,halton,simplepath,0.2319963425397873
sportscar-area-lights,sobol,simplepath,0.23197074234485626
sportscar-area-lights,independent,volpath,0.18303070962429047
sportscar-area-lights,stratified,volpath,0.18303018808364868
sportscar-area-lights,halton,volpath,0.18304376304149628
sportscar-area-lights,stratified,randomwalk,0.9884878396987915
sportscar-area-lights,halton,path,0.1839834749698639
sportscar-area-lights,paddedsobol,bdpt,0.15670526027679443
sportscar-area-lights,sobol,path,0.1839851588010788
sportscar-area-lights,stratified,bdpt,0.15666641294956207
sportscar-area-lights,independent,randomwalk,0.9884990453720093
sportscar-area-lights,sobol,bdpt,0.1566920280456543
sportscar-area-lights,stratified,simplepath,0.23199337720870972
sportscar-area-lights,independent,bdpt,0.1566675752401352
sportscar-area-lights,independent,path,0.18394827842712402
sportscar-area-lights,sobol,volpath,0.1830510050058365
sportscar-area-lights,sobol,randomwalk,0.988505482673645
sportscar-area-lights,independent,simplepath,0.23195414245128632
sportscar-area-lights,halton,randomwalk,0.9884927868843079
sportscar-area-lights,stratified,path,0.18396638333797455
sportscar-area-lights,zsobol,simplepath,0.2319750040769577
sportscar-area-lights,paddedsobol,simplepath,0.23198498785495758
sportscar-area-lights,zsobol,path,0.18395569920539856
sportscar-area-lights,zsobol,randomwalk,0.9885005950927734
sportscar-area-lights,paddedsobol,volpath,0.183040052652359
bistro-vespa,zsobol,bdpt,0.6366466283798218
bistro-vespa,paddedsobol,simplepath,0.7836777567863464
bistro-vespa,independent,volpath,0.7018440365791321
bistro-vespa,stratified,randomwalk,0.9134053587913513
bistro-vespa,paddedsobol,randomwalk,0.9133813977241516
bistro-vespa,independent,simplepath,0.7836679816246033
bistro-vespa,independent,bdpt,0.6366429328918457
bistro-vespa,stratified,volpath,0.7018691897392273
bistro-vespa,sobol,bdpt,0.6366294622421265
bistro-vespa,stratified,bdpt,0.6366881728172302
bistro-vespa,independent,path,0.7018115520477295
bistro-vespa,sobol,path,0.7018235325813293
bistro-vespa,sobol,simplepath,0.7836294174194336
bistro-vespa,halton,simplepath,0.7836284041404724
bistro-vespa,paddedsobol,path,0.701849102973938
bistro-vespa,zsobol,simplepath,0.783685564994812
bistro-vespa,halton,path,0.7018142342567444
bistro-vespa,halton,volpath,0.701828122138977
bistro-vespa,zsobol,randomwalk,0.9133462309837341
bistro-vespa,halton,bdpt,0.636660635471344
bistro-vespa,zsobol,volpath,0.7018681168556213
bistro-vespa,stratified,path,0.701799750328064
bistro-vespa,paddedsobol,bdpt,0.636696457862854
bistro-vespa,halton,randomwalk,0.9133769869804382
bistro-vespa,sobol,randomwalk,0.9133648872375488
bistro-vespa,sobol,volpath,0.7018942832946777
bistro-vespa,zsobol,path,0.7018585205078125
bistro-vespa,stratified,simplepath,0.7836531400680542
bistro-vespa,independent,randomwalk,0.9133581519126892
bistro-vespa,paddedsobol,volpath,0.7018774747848511
ganesha,sobol,volpath,0.1308515965938568
ganesha,halton,path,0.13038887083530426
ganesha,stratified,bdpt,0.0969415009021759
ganesha,independent,volpath,0.130802720785141
ganesha,zsobol,volpath,0.13081280887126923
ganesha,halton,bdpt,0.09685571491718292
ganesha,zsobol,bdpt,0.09690441191196442
ganesha,independent,randomwalk,0.44528186321258545
ganesha,paddedsobol,path,0.13037604093551636
ganesha,halton,randomwalk,0.44526657462120056
ganesha,halton,simplepath,0.24956859648227692
ganesha,halton,volpath,0.13079778850078583
ganesha,independent,bdpt,0.09690406173467636
ganesha,paddedsobol,simplepath,0.24954915046691895
ganesha,sobol,simplepath,0.2495383620262146
ganesha,paddedsobol,volpath,0.13080398738384247
ganesha,stratified,volpath,0.13080011308193207
ganesha,stratified,randomwalk,0.4452745020389557
ganesha,independent,simplepath,0.24954438209533691
ganesha,paddedsobol,bdpt,0.09691973775625229
ganesha,sobol,randomwalk,0.44527122378349304
ganesha,zsobol,path,0.1303953379392624
ganesha,sobol,path,0.13038311898708344
ganesha,stratified,simplepath,0.24956592917442322
ganesha,zsobol,randomwalk,0.4452957510948181
ganesha,paddedsobol,randomwalk,0.44529375433921814
ganesha,independent,path,0.13038234412670135
ganesha,zsobol,simplepath,0.24952568113803864
ganesha,stratified,path,0.13040874898433685
ganesha,sobol,bdpt,0.09689086675643921
bistro-cafe,halton,volpath,0.7053972482681274
bistro-cafe,paddedsobol,volpath,0.7053967714309692
bistro-cafe,sobol,bdpt,0.6205384135246277
bistro-cafe,sobol,randomwalk,0.9099119305610657
bistro-cafe,zsobol,volpath,0.7054312229156494
bistro-cafe,independent,volpath,0.7054274678230286
bistro-cafe,paddedsobol,simplepath,0.7714338302612305
bistro-cafe,halton,bdpt,0.6205329895019531
bistro-cafe,sobol,path,0.7054246068000793
bistro-cafe,stratified,volpath,0.7054150700569153
bistro-cafe,stratified,bdpt,0.6205382347106934
bistro-cafe,paddedsobol,path,0.705359935760498
bistro-cafe,zsobol,randomwalk,0.9099095463752747
bistro-cafe,independent,path,0.7054398655891418
bistro-cafe,stratified,randomwalk,0.909928560256958
bistro-cafe,paddedsobol,randomwalk,0.9099275469779968
bistro-cafe,halton,simplepath,0.7715181708335876
bistro-cafe,stratified,path,0.7054024338722229
bistro-cafe,independent,simplepath,0.7714422345161438
bistro-cafe,stratified,simplepath,0.7715102434158325
bistro-cafe,zsobol,bdpt,0.6205318570137024
bistro-cafe,sobol,simplepath,0.7715139985084534
bistro-cafe,sobol,volpath,0.705455482006073
bistro-cafe,independent,bdpt,0.6204953193664551
bistro-cafe,independent,randomwalk,0.9099081754684448
bistro-cafe,paddedsobol,bdpt,0.6205294728279114
bistro-cafe,halton,randomwalk,0.9099252223968506
bistro-cafe,zsobol,path,0.7054136991500854
bistro-cafe,zsobol,simplepath,0.7715325951576233
bistro-cafe,halton,path,0.7053642272949219
